ref,sw_x_mm,sw_y_mm,sw_rot_deg,rgb_x_mm,rgb_y_mm,rgb_rot_deg
SW1,9.525,9.525,0.0,9.525,15.525,0.0
SW2,9.525,33.337,0.0,9.525,39.337,0.0
SW3,28.575,33.337,0.0,28.575,39.337,0.0
SW4,47.625,33.337,0.0,47.625,39.337,0.0
